vowel,avg_F1_Hz,avg_F2_Hz
æ,772.2623598361888,1731.6866205977226
ɛ,574.208631287283,1918.637682685363
i,305.92339403193955,2458.4996663060283
ɪ,453.5730951234637,2072.92348845572
ɑ,714.6610521359538,1214.4713341175295
ʊ,476.80292121316353,1338.2178121189354
ʌ,618.9116494455797,1425.8562296798175
u,318.0286268276335,1095.993125792178
ɔ,610.8859754665131,935.5714048615686
æ,812.4152837356295,1702.1079409783133
ɛ,534.3448157343192,1891.7585442888867
i,289.82041231188634,2429.2999144902774
ɪ,450.1635653561586,2009.4880143110365
ɑ,708.1091727260111,1189.9926250011079
ʊ,497.65304819673605,1020.9113547201716
ʌ,606.6914116015801,1372.059084614637
u,323.43445114657317,1264.2416721859588
ɔ,636.7402932330717,994.824262278683
